    op     index     value
   add         0        48
   add         0        25
   set         1        19
   add         2         2
   set         0        76
   get         0        76
remove         1        19
remove         1         2
   add         0        13
   get         1        76
   set         1        87
   add         1        56
   add         1        17
   set         0        93
   get         1        17
remove         2        56
   get         1        17
   get         0        93
remove         2        87
   add         1        93
   add         3        56
   set         3        13
   add         1         3
   set         4        52
   add         2        94
remove         1         3
   get         4        52
   set         1        53
   set         3        33
   set         0        25
remove         0        25
   get         3        52
   add         2        93
remove         4        52
   set         3        47
   get         0        53
   set         0        23
remove         1        93
   set         1        70
   add         2        29
   get         2        29
   set         0        75
   set         1         4
remove         0        75
remove         0         4
   get         0        29
   set         0        46
   add         2        23
   add         0        22
Done generating operations. Final size = 4
